Date,Description,Debit,Credit,Source
2025-06-18,Uniqlo India Private L Gurgaon,2740,,credit
2025-06-19,AMAZON GIFT CARD MUMBAI,5000,,credit
2025-06-20,AMAZON PAY INDIA PRIVA www.amazon.i,,11995,credit
2025-06-20,DUROFLEX PVT LTD BANGALORE,17099.1,,credit
2025-06-20,AMAZON PAY INDIA PRIVA www.amazon.i,12237,,credit
2025-06-20,AMAZON PAY INDIA PRIVA www.amazon.i,11995,,credit
2025-06-21,ETHNIX UNISEX SALOON ANBANGALORE,1179,,credit
2025-06-22,WWW AMAZON IN GURGAON,7661.43,,credit
2025-06-22,ING*IKEA INDIA PVT LTD www.ikea.in,15956,,credit
2025-06-22,ZIPPED SOLUTIONS PVT L Delhi,3919.02,,credit
2025-06-23,AMAZON PAY INDIA PRIVA www.amazon.i,2504,,credit
2025-06-24,AGGREGATOR�EMI�-�OFFUS�CREDIT (Ref# 09999999980624000463248),,17099.1,credit
2025-06-24,AMAZON PAY INDIA PRIVA www.amazon.i,1505.49,,credit
2025-06-25,IGST-VPS2617787411172-RATE 18.0 -32 (Ref# 09999999980625001267165),53.82,,credit
2025-06-25,OFFUS EMI,PROCNG FEE,00000000001259 (Ref# 09999999980625001267165),299,,credit
2025-06-25,AGGREGATOR�EMI�-�OFFUS�CREDIT (Ref# 09999999980625000381124),,7661.43,credit
2025-06-26,IGST-VPS2617888042102-RATE 18.0 -32 (Ref# 09999999980626001063919),53.82,,credit
2025-06-26,OFFUS EMI,PROCNG FEE,00000000001260 (Ref# 09999999980626001063919),299,,credit
2025-07-02,AUTOPAY THANK YOU (Ref# ST251840083000010130940),,96,credit
2025-07-12,OFFUS EMI,PRIN NB:01,00000126018485 (Ref# 09999999980712012768603),2520,,credit
2025-07-12,OFFUS EMI,INT NBR:01,00000126018485 (Ref# 09999999980712012768611),126,,credit
2025-07-12,OFFUS EMI,PRIN NB:01,00000125971309 (Ref# 09999999980712012768587),2632,,credit
2025-07-12,OFFUS EMI,INT NBR:01,00000125971309 (Ref# 09999999980712012768595),276,,credit
2025-06-13,UPI-Blinkit,470,,credit
2025-06-14,UPI-Blinkit,331,,credit
2025-06-14,UPI-NO 11 FORT COCHIN,1553,,credit
2025-06-14,UPI-Ame s Japanese Mochi Ic,488,,credit
2025-06-14,UPI-COMICVERSE CAFE PRIVATE L,260,,credit
2025-06-15,UPI-Vinodan,135,,credit
2025-06-16,UPI-GROFERS INDIA PRIVATE LIM,171,,credit
2025-06-16,UPI-Healthandglow,578,,credit
2025-06-17,UPI-Google India Digital Serv,1047.3,,credit
2025-06-17,UPI-GROFERS INDIA PRIVATE LIM,530,,credit
2025-06-18,UPI-NER LU CAFE,525,,credit
2025-06-18,UPI-Bangalore Metro Rail Corp,50,,credit
2025-06-18,UPI-GK Enterprises KUNDALAHAL,120,,credit
2025-06-18,UPI-SADIQ PASHA,165,,credit
2025-06-19,UPI-Wakefitco,2524,,credit
2025-06-20,UPI-Blinkit,387,,credit
2025-06-20,UPI-Blinkit,504,,credit
2025-06-20,UPI-MAHAMUD MUSTHAFA K I,1248,,credit
2025-06-21,UPI-M/S.DELICIAE,1020,,credit
2025-06-22,UPI-ROSHNI,259,,credit
2025-06-22,UPI-GROFERS INDIA PRIVATE LIM,793,,credit
2025-06-22,UPI-Blinkit,334,,credit
2025-06-23,UPI-Swiggy Limited,281,,credit
2025-06-23,UPI-URBAN COMPANY,698,,credit
2025-06-24,UPI-SMARTSHIFT LOGISTICS SOLU,500,,credit
2025-06-25,UPI-Urban Company,157,,credit
2025-06-25,UPI-BLINKIT,391,,credit
2025-06-25,UPI-Blinkit,410,,credit
2025-06-25,UPI-Venkatesh C,207,,credit
2025-06-25,UPI-GROFERS INDIA PRIVATE LIM,688,,credit
2025-06-25,UPI-Swiggy Limited,717,,credit
2025-06-26,UPI-BISTRO,253,,credit
2025-06-26,UPI-Blinkit,539,,credit
2025-06-26,UPI-Blinkit,3195,,credit
2025-06-27,UPI-Swiggy Ltd,216,,credit
2025-06-27,UPI-Bistro,258,,credit
2025-06-27,UPI-Blinkit,494,,credit
2025-06-27,UPI-MATAJI HOME APPLIANC,350,,credit
2025-06-27,UPI-Blinkit,556,,credit
2025-06-27,UPI-SRI GAJANANA MEDICALS,75,,credit
2025-06-27,UPI-GROFERS INDIA PRIVATE LIM,1151,,credit
2025-06-27,UPI-SHANAVAS P,460,,credit
2025-06-28,UPI-Swiggy Limited,488,,credit
2025-06-28,UPI-Smoor MAP,585,,credit
2025-06-28,UPI-KITCHEN PLANET,880,,credit
2025-06-28,UPI-LAKSHMI STORES,145,,credit
2025-06-28,UPI-Bangalore Metro Rail Corp,20,,credit
2025-06-29,UPI-K Srinivasulu,81,,credit
2025-06-29,UPI-fairoz,300,,credit
2025-06-29,UPI-Swiggy Limited,244,,credit
2025-06-29,UPI-COSMO,128,,credit
2025-06-30,UPI-Blinkit,315,,credit
2025-06-30,UPI-Swiggy,260,,credit
2025-07-01,UPI-Blinkit,352,,credit
2025-07-01,UPI-JAGPAL SINGH DAHIYA,50,,credit
2025-07-02,AUTOPAY THANK YOU (Ref# ST251840083000010010071),,22103,credit
2025-07-02,UPI-Swiggy Limited,458,,credit
2025-07-03,UPI-GROFERS INDIA PRIVATE LIM,917,,credit
2025-07-03,UPI-Swiggy Limited,492,,credit
2025-07-04,UPI-Bangalore Metro Rail Corp,30,,credit
2025-07-04,UPI-Bangalore Metro Rail Corp,60,,credit
2025-07-04,UPI-COPPER AND CLOVES,368,,credit
2025-07-04,UPI-Bangalore Metro Rail Corp,20,,credit
2025-07-04,UPI-BLOSSOM BOOK HOUSE,600,,credit
2025-07-04,UPI-Blinkit,506,,credit
2025-07-05,UPI-Blinkit,1111,,credit
2025-07-05,UPI-Techmash Solutions Pvt Lt,489.07,,credit
2025-07-05,UPI-Lazy Suzy,3985,,credit
2025-07-05,UPI-LAKSHMI STORES,348,,credit
2025-07-05,UPI-M/S.SRI VINAYAKA MEDICALS,150,,credit
2025-07-05,UPI-Swiggy Limited,218,,credit
2025-07-06,UPI-SWIGGY LIMITED,1229,,credit
2025-07-06,UPI-Smart Point Bangalore 283,124.5,,credit
2025-07-06,UPI-KUMARI,40,,credit
2025-07-06,UPI-GAME THEORY,56,,credit
2025-07-06,UPI-Thattu Kada Tea Snacks,180,,credit
2025-07-06,UPI-Swiggy Limited,215,,credit
2025-07-08,UPI-Urban Company,157,,credit
2025-07-09,UPI-SWIGGY LIMITED,291,,credit
2025-07-09,UPI-Ramesh D,255,,credit
2025-07-11,UPI-Blinkit,506,,credit
2025-07-11,UPI-CPIL Bang Mahadevpura,174,,credit
2025-07-11,UPI-CHAKALA ASHA,12,,credit
2025-07-11,UPI-UBER INDIA SYSTEMS PRIVAT,1,,credit
2025-07-12,UPI-SHREE RAMDEV MEDICAL,100,,credit
2025-07-12,UPI-Blinkit,316,,credit
2025-07-12,UPI-M/S.SRI VINAYAKA MEDICALS,23,,credit
2025-07-12,UPI-Blinkit,225,,credit